"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1599162602663608321","Sat Dec 03 22:50:32 +0000 2022","3","@Ucansurvive @cinooooot @infoBMKG Di youtube ada penjelasan dari bmkg 3 tahun lalu awalnya juga saya ga anggap penting ancaman gempa sunda megathrust tapi tahun ini malah sering gempa di kota jabar","1599174272840503296","","kutemukanAku","in","","0","1","0","https://x.com/undefined/status/1599174272840503296","778822646024720384",
"1599168639403687936","Sat Dec 03 22:47:58 +0000 2022","33","@infoBMKG Tolong ke kepala bmkg dan pak presiden segera buat pelatihan simulasi gempa secara nasional khususnya di jabar kepada masyarakat untuk antisipasi dini dan penjelasan tentang ancaman sunda megathrust apa warga perlu mengungsi ke kalimantan","1599173625684561920","","infoBMKG","in","","0","3","0","https://x.com/undefined/status/1599173625684561920","778822646024720384",
"1599168639403687936","Sat Dec 03 22:36:31 +0000 2022","0","@kiranahilwa @infoBMKG yg pantai selatan pulau jawa ya? katanya sih begitu dan kemungkinan bakal ada megathrust","1599170743975432193","","kiranahilwa","in","","0","1","0","https://x.com/undefined/status/1599170743975432193","547729760",
"1599166493996232704","Sat Dec 03 22:19:37 +0000 2022","0","Apakah sudah saatnya siap2 buat sunda megathrust???","1599166493996232704","","","in","","0","0","0","https://x.com/undefined/status/1599166493996232704","100700146",
"1599162602663608321","Sat Dec 03 22:17:43 +0000 2022","68","@cinooooot @infoBMKG 3 th lalu bmkg udah peringatan ancaman gempa megathrust 8 7-9 di selat sunda tahun sekarang udah sering gempa khususnya di daerah jawa barat deket pantai selatan cianjur tasik sukabumi jabodetabek semoga pemerintah kasih peringatan resmi dan pelatihan simulasi gempa","1599166012494315521","","cinooooot","in","","1","4","4","https://x.com/undefined/status/1599166012494315521","778822646024720384",
"1599162602663608321","Sat Dec 03 22:11:14 +0000 2022","196","@infoBMKG Kemaren gempa di garut jam 04.03 di tasik jam 05.00 di cianjur lagi min coba bahas ancaman sunda megathrust kalo memang sudah mulai gejalanya kasih peringatan resmi ke masyarakat","1599164382210330625","","infoBMKG","in","","0","5","15","https://x.com/undefined/status/1599164382210330625","778822646024720384",
"1599036590780997632","Sat Dec 03 13:43:26 +0000 2022","0","Gempa Dahsyat Bermagnitudo 6 4 Guncang Garut Rangkaian Megathrust #Sindonews #BukanBeritaBiasa .https://t.co/QB2dMmdzkP","1599036590780997632","","","in","","0","0","0","https://x.com/undefined/status/1599036590780997632","231355136",
"1599024211020111872","Sat Dec 03 12:54:14 +0000 2022","0","Menunggu gempa megathrust!!!","1599024211020111872","","","in","","0","0","0","https://x.com/undefined/status/1599024211020111872","1930296078",
"1599000750793056256","Sat Dec 03 11:21:01 +0000 2022","0","Gempa Megathrust Ancam Potensi Tsunami Setinggi 20 Meter Ini Wilayah Zona Megathrust dan Prediksi Tumbukannya https://t.co/KQ7fJRSKgy","1599000750793056256","","","in","","0","0","0","https://x.com/undefined/status/1599000750793056256","1463125240645488640",
"1598984283649380353","Sat Dec 03 11:02:36 +0000 2022","3","@Aconxx Semoga bukan gejala sunda megathurst soalnya bmkg tahun 2022 januari pernah memperingatkan kemungkinan gempa megathrust 8 7 di selat sunda","1598996113671196674","","Aconxx","in","","0","0","0","https://x.com/undefined/status/1598996113671196674","778822646024720384",
"1598978142667939840","Sat Dec 03 10:07:33 +0000 2022","0","@LastQuake Lempeng nya jelas bgt ya klo gk salah ini lempeng megathrust ya https://t.co/4jrfbrIPHC","1598982262988890113","https://pbs.twimg.com/media/FjC54xMaEAMuRcd.jpg","LastQuake","in","","0","2","0","https://x.com/undefined/status/1598982262988890113","1150113137120538625",
"1598573207317086211","Fri Dec 02 07:02:07 +0000 2022","1","Dinilai aman BMKG sebut pulau Kalimantan bebas zona gempa megathrust dan tegas dukung IKN Nusantara #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/1vBYeadngh","1598573207317086211","https://pbs.twimg.com/media/Fi9F3C3aAAAYxQG.jpg","","in","","0","0","0","https://x.com/undefined/status/1598573207317086211","1526850154141458437",
"1598569224376832000","Fri Dec 02 06:46:17 +0000 2022","0","Lembang Berpotensi Gempa Megathrust 6 5 #bencanaalam #premankampus https://t.co/owI3zUcYQQ","1598569224376832000","https://pbs.twimg.com/ext_tw_video_thumb/1598569068272885760/pu/img/a8XCU8JwCS9KyTfB.jpg","","in","","0","0","0","https://x.com/undefined/status/1598569224376832000","1517199279131033600",
"1598517492905029637","Fri Dec 02 03:20:43 +0000 2022","199","Bismillaah Membaca berita tentang megathrust memang membuat takut. Tapi bagi teman muslim mungkin tinggal melihat ke hadits2 Rasulullaah SAW. Bahwasanya menjelang akhir zaman akan sering muncul gempa bumi. Bencana tentu saja tdk mengenal siapa korbannya. https://t.co/Kss4xu8lCi https://t.co/2DxVppteXH","1598517492905029637","https://pbs.twimg.com/media/Fi8TLiFakAAafH_.jpg","","in","","8","13","38","https://x.com/undefined/status/1598517492905029637","746704219",
"1598243762668728320","Thu Dec 01 17:52:41 +0000 2022","0","@aldfxyz @belogrunge_deni @DaryonoBMKG iya betul tsunami yang dihasilkan dapat setara tsunami gempa megathrust besar.","1598374541738201088","","aldfxyz","in","","0","1","0","https://x.com/undefined/status/1598374541738201088","1198313450549628928",
"1598031527170146306","Thu Dec 01 14:22:22 +0000 2022","0","@Diajeng_budi Nek ning jowo sak gede²ne megathrust isih kalah gede karo masalah distrust. Eaaaa ","1598321614617288707","","Diajeng_budi","in","","0","1","0","https://x.com/undefined/status/1598321614617288707","373230572",
"1598211889557016576","Thu Dec 01 07:06:22 +0000 2022","11","Jakarta Harus Waspada! Ancaman Gempa Bumi Megathrust 8 9 SR hingga Tsunami 34 Meter Begini Penjelasannya https://t.co/2Qr7Dgoi42","1598211889557016576","","","in","","1","3","0","https://x.com/undefined/status/1598211889557016576","1531957384213843970",
